243,58.54%,339,"1,095",https://sea.wildstats.gg/en/profile/D1pWIYi6Y5O5wfvRYG7T
226,61.82%,322,736,https://sea.wildstats.gg/en/profile/S4oFFBRE88hAEhs41Ike
209,61.73%,229,729,https://sea.wildstats.gg/en/profile/EROGPRmlwyIuf24AnFNY
210,64.24%,250,576,https://sea.wildstats.gg/en/profile/6LYjywZ3n8oYUe1wPwto
196,58.97%,303,775,https://sea.wildstats.gg/en/profile/YwMfAm4canvu06JXp7WW
189,58.36%,330,927,https://sea.wildstats.gg/en/profile/CNpoy3OQxo2Eej7wbM9U
171,57.54%,154,836,https://sea.wildstats.gg/en/profile/Dh16AxSTc4iPV1AzJVHy
166,58.33%,292,720,https://sea.wildstats.gg/en/profile/sZ8jp0UZBh6wM6DcDQ7c
159,56.17%,132,899,https://sea.wildstats.gg/en/profile/7q6prsD5AgfyXxj8fWYW
156,59.22%,174,640,https://sea.wildstats.gg/en/profile/WOpiPPTYlPIyxImX1fzP
154,59.1%,184,643,https://sea.wildstats.gg/en/profile/f03WXGaWzFcGRSeUdiud
152,56.69%,127,852,https://sea.wildstats.gg/en/profile/cQjAM5XXn8oVAOBwPAYz
144,55.86%,155,981,https://sea.wildstats.gg/en/profile/H8v2iUP9ReUa8Ce3bjU0
143,60.33%,204,552,https://sea.wildstats.gg/en/profile/YmOz6GtbG32mEOXDvVtk
141,57.63%,148,734,https://sea.wildstats.gg/en/profile/7JW8WvEJrxVgNkcR8Qkg
141,54.15%,169,"1,132",https://sea.wildstats.gg/en/profile/C0UH3eBaSXP4gg8PzALc
139,62.9%,220,504,https://sea.wildstats.gg/en/profile/TOcSWjGEEZNUZLG8lTwS
138,56.25%,177,768,https://sea.wildstats.gg/en/profile/CXYXJhQCOJFEywhJhz0N
136,58.13%,117,640,https://sea.wildstats.gg/en/profile/J6Ml7mkeAGhcZak1eHvQ
133,64.95%,157,368,https://sea.wildstats.gg/en/profile/8Y9kJsjT90KyX94RUsMI
133,61.83%,69,448,https://sea.wildstats.gg/en/profile/OT7gPiJh3yNJgCT5ULKt
133,58.14%,65,602,https://sea.wildstats.gg/en/profile/FchPhG3DVbdrzVIpkAIW
132,64.94%,84,385,https://sea.wildstats.gg/en/profile/X72grmmuOfSXuK2WrZK8
132,56.66%,32,743,https://sea.wildstats.gg/en/profile/o1olnHPOUbT18X57pzV2
131,63.51%,133,422,https://sea.wildstats.gg/en/profile/xYB0mh0us5BG5EQREyEO
131,60.74%,119,489,https://sea.wildstats.gg/en/profile/aoI2b8CvlZDjQBtEnuQm
131,56.3%,160,810,https://sea.wildstats.gg/en/profile/XBaJ7UBSOqON7PcUKwDy
131,54.88%,177,840,https://sea.wildstats.gg/en/profile/ofpdb5w0hoPjsXm7oL8w
129,57.83%,145,607,https://sea.wildstats.gg/en/profile/x2Z8weAY8gSgfJNKiVAr
129,55.01%,140,829,https://sea.wildstats.gg/en/profile/sVzSJIAgrJW4IuSi3yV8
128,62.64%,32,447,https://sea.wildstats.gg/en/profile/0SQ6haaBqfQEJ1nfuiyB
127,54.77%,295,838,https://sea.wildstats.gg/en/profile/LKWMrelDrLIueh5SxhlN
127,59.62%,223,629,https://sea.wildstats.gg/en/profile/0ucoKcGXzZOXtUM6HelU
127,53.94%,199,"1,040",https://sea.wildstats.gg/en/profile/dJhzMHj6xSOGx3hpXQ2F
126,55.02%,168,996,https://sea.wildstats.gg/en/profile/6PjJ1u4vhBG4jc9dw2wI
126,52.34%,150,"1,452",https://sea.wildstats.gg/en/profile/TZAOQtPPq2dHuRLqiX9B
125,53.56%,205,941,https://sea.wildstats.gg/en/profile/XqeLuiZxaePeXnAm2m9V
126,54.61%,279,868,https://sea.wildstats.gg/en/profile/GzeuVzOVygdjO9fK8YSi
124,57.31%,198,595,https://sea.wildstats.gg/en/profile/XRZhyWCKPq2hrJWAL2b1
122,58.05%,120,584,https://sea.wildstats.gg/en/profile/PGt3E31kXyzi0EXSlz2P
122,54.59%,28,850,https://sea.wildstats.gg/en/profile/QJBjjMZ16p7kdqzjEnA6
121,61.67%,136,420,https://sea.wildstats.gg/en/profile/9qW2nx1FeyH3iJ7PGgsm
121,54.51%,81,787,https://sea.wildstats.gg/en/profile/UMVuq3lcfhjwJnwUCx4E
121,55.21%,150,777,https://sea.wildstats.gg/en/profile/ySZMpkLNQ45MdivwhZZ6
120,60.04%,109,493,https://sea.wildstats.gg/en/profile/yu4R9D6aV5Rmb5XSwjYw
120,53.56%,235,954,https://sea.wildstats.gg/en/profile/LDn3Fwo1sndeVISEeYqz
120,59.35%,185,524,https://sea.wildstats.gg/en/profile/L4qUQCA6oWpJN7sJK2Px
120,52.86%,182,"1,050",https://sea.wildstats.gg/en/profile/jaqJ5fDAEUwFahNLGG0H
119,63.43%,29,402,https://sea.wildstats.gg/en/profile/LVENLaoE7VHGHOUMKCR7
119,57.02%,152,598,https://sea.wildstats.gg/en/profile/EmrIxbAmuMKUPfZgggkh
119,52.78%,373,"1,133",https://sea.wildstats.gg/en/profile/UG4jJFM2rfF31WHVrjvG
120,57.28%,88,618,https://sea.wildstats.gg/en/profile/CauuvqbbKqF6UcHnEseU
119,54.08%,191,895,https://sea.wildstats.gg/en/profile/cvZ4DzSKZFClz8ElMPPK
119,53.06%,97,"1,129",https://sea.wildstats.gg/en/profile/pOZNytaiL4yM0eZFLZ9T
118,52.88%,212,"1,231",https://sea.wildstats.gg/en/profile/F0KuNwwnAjtA74tGIByS
120,55.82%,196,713,https://sea.wildstats.gg/en/profile/KUQ99bbsokEzryrl0Mnc
118,58.75%,127,514,https://sea.wildstats.gg/en/profile/Tj89UH2JOeAO8r0ty6O7
118,55.63%,171,728,https://sea.wildstats.gg/en/profile/IX7OPNDKxWZRgVsxgQAy
118,61.46%,84,467,https://sea.wildstats.gg/en/profile/25EulBzPxA2iTdTugerv
118,54.91%,220,754,https://sea.wildstats.gg/en/profile/4amMlvJffQPwc2tgqkJf
118,53.03%,201,990,https://sea.wildstats.gg/en/profile/vATrFnM7EkHo89GTtr8G
116,52.59%,93,"1,160",https://sea.wildstats.gg/en/profile/Y0dRjx0uWdoiZvPQkVku
117,52.97%,248,942,https://sea.wildstats.gg/en/profile/lrRfHlpS0ah43tVyE3Wd
117,57.26%,146,620,https://sea.wildstats.gg/en/profile/ieTFSECMjKR475sbJI8f
116,57.43%,54,538,https://sea.wildstats.gg/en/profile/IRI9ITFjDhCLn10UOLCd
116,61.63%,66,430,https://sea.wildstats.gg/en/profile/zKCcIG6fdkQT894jkQsI
116,58.73%,131,550,https://sea.wildstats.gg/en/profile/rnNy2ou8zbKCR5hZMClQ
116,57.42%,103,573,https://sea.wildstats.gg/en/profile/2MTe3W74qQP3tGhDdIk4
115,54.49%,161,"1,092",https://sea.wildstats.gg/en/profile/QwAcRlaA5p91TdYkYqty
116,54.97%,130,784,https://sea.wildstats.gg/en/profile/bw4M67rfpUK20cd30zxS
116,53.07%,212,993,https://sea.wildstats.gg/en/profile/kaNFFMVDWTBIg7VYK1Pz
113,58.62%,104,522,https://sea.wildstats.gg/en/profile/gCCOPaHPcOLe9fCpj8bd
115,51.97%,164,"1,241",https://sea.wildstats.gg/en/profile/5IYZrqWLf6Gi7eIngiJq
114,57.14%,147,616,https://sea.wildstats.gg/en/profile/Q61k8F4RkIWPhyNbursA
115,59.41%,123,478,https://sea.wildstats.gg/en/profile/PjhM3t2RWoFe2XJwtZXx
114,60.83%,26,411,https://sea.wildstats.gg/en/profile/TiXuEqnfODlTRaXBvtMF
114,54.28%,153,829,https://sea.wildstats.gg/en/profile/ZwekLkoplAdq7nRbNpo2
115,51.73%,44,"2,024",https://sea.wildstats.gg/en/profile/hgFa0zEXxNY36usmMwEu
113,54.15%,135,868,https://sea.wildstats.gg/en/profile/8oK9fBIOWyVz6eWd8rtO
113,56.41%,83,608,https://sea.wildstats.gg/en/profile/ksCMz7OqCWw1xZ52RZs8
113,56.43%,137,583,https://sea.wildstats.gg/en/profile/UOU7RaEaLvekZUOatzt8
113,54.56%,143,790,https://sea.wildstats.gg/en/profile/kMtS8mEoZTBGHxgBO9Pg
113,55.81%,38,663,https://sea.wildstats.gg/en/profile/7qS5bv6KSmkwooiyyQOp
113,53.5%,182,944,https://sea.wildstats.gg/en/profile/uUnAOUtRGxE5oO71VxYM
113,58.17%,92,502,https://sea.wildstats.gg/en/profile/jMxKPwjzKiVNcvGYI1z7
113,53.96%,119,847,https://sea.wildstats.gg/en/profile/s8ysRrqSanFUJlqV5XtK
113,54.69%,221,704,https://sea.wildstats.gg/en/profile/J9b5FYRbpbB27trlQ0y8
112,58.65%,83,520,https://sea.wildstats.gg/en/profile/zG2LWsSXRZ6wq7nchf0j
112,53.75%,171,800,https://sea.wildstats.gg/en/profile/tQ850aPq7H1tvAf1mVqe
112,56.43%,34,645,https://sea.wildstats.gg/en/profile/w6zm29tQYD0fe1A8jTgT
112,55.23%,101,813,https://sea.wildstats.gg/en/profile/JkF5TzRuvtBOyTCvT4Ov
112,52.5%,233,"1,219",https://sea.wildstats.gg/en/profile/Ik16i4b6FBFrTgGJDdRU
111,56.63%,71,664,https://sea.wildstats.gg/en/profile/udoe0KeMMbJWybqgLWv1
112,58.32%,147,499,https://sea.wildstats.gg/en/profile/iHoH3aabKXYgzN4OQYsz
111,53.74%,224,"1,189",https://sea.wildstats.gg/en/profile/5IxmwFUcyjHT7JRHZJrK
111,54.95%,95,788,https://sea.wildstats.gg/en/profile/mDwC0ZtSmJe72I2sStB8
111,52.32%,248,"1,487",https://sea.wildstats.gg/en/profile/TRix6yE8lWKDSi6RJm4m
111,53.02%,74,"1,011",https://sea.wildstats.gg/en/profile/vX6m97kZqaRASi7e1MHe
111,54.19%,106,836,https://sea.wildstats.gg/en/profile/wHXoEnU7eeztvEk2gWAh
110,59.41%,98,478,https://sea.wildstats.gg/en/profile/E9Mu1sea4H2zWAxWyCAF
110,61.25%,146,400,https://sea.wildstats.gg/en/profile/Q11zFucOam1yT8eBsUi9
110,57.29%,195,487,https://sea.wildstats.gg/en/profile/wz9zc1a3pz0zI1e9XlLq
110,57.88%,38,565,https://sea.wildstats.gg/en/profile/2UVzQEk82Ysg5EuVod5U
110,65.19%,55,362,https://sea.wildstats.gg/en/profile/pXXxEZAfTfyTRQW1VrEF
110,58.47%,69,472,https://sea.wildstats.gg/en/profile/FEZipCZSE42oXb9deDT8
109,53.98%,89,893,https://sea.wildstats.gg/en/profile/C1wzYYEAKZ3G1lWUouyD
110,55.28%,163,606,https://sea.wildstats.gg/en/profile/B8uiBHemjbHNrscCSuST
110,52.61%,284,"1,148",https://sea.wildstats.gg/en/profile/ua0oX6P2B3d7qtHoVlj6
110,57.89%,134,589,https://sea.wildstats.gg/en/profile/ERBdAVfO0uvzjuDo4wGP
110,52.82%,185,"1,083",https://sea.wildstats.gg/en/profile/M97s4TQciek63jR8mwLQ
110,54.12%,108,861,https://sea.wildstats.gg/en/profile/VjPWomcZrNghWetuGLu8
109,60.5%,67,443,https://sea.wildstats.gg/en/profile/tXpbJ6K2nlsCbhpIaWJl
110,53.84%,145,938,https://sea.wildstats.gg/en/profile/Qoql9JHvH4jfwmMpxgqN
109,55.5%,62,600,https://sea.wildstats.gg/en/profile/3DsNpFFpzuHmu47YfEyj
109,55.82%,105,627,https://sea.wildstats.gg/en/profile/QUCqcxPrecHnjrRaZjq5
109,54.56%,132,702,https://sea.wildstats.gg/en/profile/urj2emn1URmGsQzIczuy
109,54.16%,158,938,https://sea.wildstats.gg/en/profile/DPQlE0sbCAoVxNrEToK2
109,54.66%,120,794,https://sea.wildstats.gg/en/profile/BE6p43HIWJIDTWMwH87v
109,53.14%,204,939,https://sea.wildstats.gg/en/profile/B80t0hqapUuxqEBO5xjt
109,53.97%,234,769,https://sea.wildstats.gg/en/profile/N3eoE1dCeMXua7LgNbAp
110,52.38%,219,"1,178",https://sea.wildstats.gg/en/profile/j1J87xLtf3gS53HQkN3y
109,52.55%,230,"1,195",https://sea.wildstats.gg/en/profile/oqgX26TKBLF59NyQtHPS
109,53.17%,150,882,https://sea.wildstats.gg/en/profile/yr9WgXZrWqO77pQ76Rtb
109,54.12%,53,885,https://sea.wildstats.gg/en/profile/kZfB3DGvyM7OlMHjqMso
108,59.44%,152,678,https://sea.wildstats.gg/en/profile/VVd74BqnWKl93r8TUlKI
108,60.85%,63,424,https://sea.wildstats.gg/en/profile/XBPq0gEZ6gBd4WVDXoFe
108,59.05%,109,464,https://sea.wildstats.gg/en/profile/0WKgYIjGThc2pojDnVur
108,55.52%,178,706,https://sea.wildstats.gg/en/profile/J8vXVrzbogWuJLcWjRGn
108,54.15%,176,674,https://sea.wildstats.gg/en/profile/NtrGHdNEJIZ4S8h1dprd
108,58.25%,172,618,https://sea.wildstats.gg/en/profile/m70fifhTaif5u96kSXjJ
107,61.62%,112,370,https://sea.wildstats.gg/en/profile/TdiDomvUqbgLZ7XdCVZ3
107,53.15%,154,905,https://sea.wildstats.gg/en/profile/iVp7redKcIvbSQ7tF6fL
107,55.63%,97,640,https://sea.wildstats.gg/en/profile/eqn8TwCNVrEaLdfxYb1X
107,55.92%,186,819,https://sea.wildstats.gg/en/profile/YGjiWP0dp7MFiV7Pkx4a
107,54.53%,175,739,https://sea.wildstats.gg/en/profile/Szj19sh0Jt1DIa2M89E1
107,55.77%,48,667,https://sea.wildstats.gg/en/profile/GxhxiGzJ3LA62rdNJzLF
107,53.54%,65,762,https://sea.wildstats.gg/en/profile/ELW4ZoNcEPHsAHyIsoAe
107,61.92%,111,386,https://sea.wildstats.gg/en/profile/dCq0wYvQDjcvRU4p9y3Z
107,55.84%,97,693,https://sea.wildstats.gg/en/profile/GcMkH1EsbQWIDW174a2p
107,56.51%,35,614,https://sea.wildstats.gg/en/profile/tiYwfZ3LJfO0vN3b0nQ0
107,56.49%,196,570,https://sea.wildstats.gg/en/profile/y6FBogOpz70jIGPmDc8z
107,55.31%,251,725,https://sea.wildstats.gg/en/profile/qrBtG4vbI7hpVPvM2aZf
106,57.61%,224,493,https://sea.wildstats.gg/en/profile/CC276G3kDLKmg104WM3b
107,62.33%,97,369,https://sea.wildstats.gg/en/profile/hW1yIKTetvNTCNo7xbWn
106,54.87%,106,760,https://sea.wildstats.gg/en/profile/2JzX8r6vpPGSfYsikEXK
106,58.6%,177,471,https://sea.wildstats.gg/en/profile/uUsBABTsFgFl2mLK3eej
106,57.55%,66,523,https://sea.wildstats.gg/en/profile/4zp1qap8nBYfqV2tEuiS
106,63.82%,34,351,https://sea.wildstats.gg/en/profile/dUDH6OLSswPHT9Ui7fEK
105,56.22%,122,571,https://sea.wildstats.gg/en/profile/bxdn2q1zI3hHP5m2Cvr4
106,54.03%,200,807,https://sea.wildstats.gg/en/profile/P3INNSQCI6ya4LnxfyeC
106,57.2%,144,514,https://sea.wildstats.gg/en/profile/iXGJcN3V4eOfmb5XdDed
106,52.99%,216,936,https://sea.wildstats.gg/en/profile/gYAQGYWQfH3XRIthkcLU
106,55.16%,155,611,https://sea.wildstats.gg/en/profile/TC24siaYChnBh4pxui7O
106,52.86%,166,980,https://sea.wildstats.gg/en/profile/nRF7xp04qNUloTAXzwmM
106,51.39%,204,"1,154",https://sea.wildstats.gg/en/profile/fKL7yl2qJm5CFMd84e5N
106,54.71%,149,680,https://sea.wildstats.gg/en/profile/BJYRgjnihv9VMzb0uy2f
106,53.13%,179,862,https://sea.wildstats.gg/en/profile/EFxwBVM8wj8eRVZlWtNh
105,56.79%,132,574,https://sea.wildstats.gg/en/profile/Y5JddedlzM3udWtAi5Ng
105,55.24%,311,802,https://sea.wildstats.gg/en/profile/s7Rxj6TTJlRWgg0l9FxI
106,57.54%,208,464,https://sea.wildstats.gg/en/profile/UUgxXttlJr0orepKxW49
105,59.73%,78,437,https://sea.wildstats.gg/en/profile/ea2sw7JI8EfJanYF4od3
105,59.01%,61,444,https://sea.wildstats.gg/en/profile/fXouqNinxsomR2JrkOcF
105,52.89%,165,866,https://sea.wildstats.gg/en/profile/H02n4tqOrS5ZnZTy3v3H
105,57.46%,143,536,https://sea.wildstats.gg/en/profile/1UWJnPiRnQqbzbF3Ir9O
105,54.71%,129,733,https://sea.wildstats.gg/en/profile/x2CkGnTXrUYWSxkJkob3
105,54.97%,244,744,https://sea.wildstats.gg/en/profile/Kn7wK4zHFX92Wt4KugrG
105,56.44%,65,652,https://sea.wildstats.gg/en/profile/pazgFVS9OPeIaPduuc5h
105,52.54%,193,986,https://sea.wildstats.gg/en/profile/c7ybSSquW0fPrTpPRIox
105,54.47%,84,771,https://sea.wildstats.gg/en/profile/Hz5LSDspCSq230aHtUlW
105,56.39%,112,759,https://sea.wildstats.gg/en/profile/FIFaCHXr4DnCGs8btP4i
105,57.78%,138,514,https://sea.wildstats.gg/en/profile/xow12s1nMLIWjn0nhtwM
105,55.78%,152,588,https://sea.wildstats.gg/en/profile/oNNz86bupxjmM4IcV9l3
105,51.91%,267,"1,152",https://sea.wildstats.gg/en/profile/9RRH2l2hE9DlwbmeNDFp
105,51.96%,164,993,https://sea.wildstats.gg/en/profile/bNaatKiQFrGM4bTNWPIk
105,54.94%,48,739,https://sea.wildstats.gg/en/profile/3BPAFj99CGEL1H6WjNT7
105,52.69%,67,949,https://sea.wildstats.gg/en/profile/sGZLB58wMnsCTEwtNJk3
104,57.72%,168,473,https://sea.wildstats.gg/en/profile/T1NLKPnASESMCX5YfMJ5
104,56.4%,124,617,https://sea.wildstats.gg/en/profile/vetEeniRKnuRdhCEaOxM
104,56.78%,134,583,https://sea.wildstats.gg/en/profile/J4O0Vgo6z49o1jGl5e8Z
105,59.56%,63,455,https://sea.wildstats.gg/en/profile/YiuE2SPmLu2ryj4yygqj
104,56.94%,108,504,https://sea.wildstats.gg/en/profile/twLqKoG5FJS8x5zVtJqU
104,54.87%,96,678,https://sea.wildstats.gg/en/profile/49NNW7luwIeLXRT4J7og
104,55.59%,178,599,https://sea.wildstats.gg/en/profile/7CEeILxP8SXLGaXwa1aX
104,54.77%,203,891,https://sea.wildstats.gg/en/profile/MwhFjS3637j16D7LMMv0
104,53.03%,117,909,https://sea.wildstats.gg/en/profile/F1zb3Xf7XAnGYDJ17VVR
104,53.12%,167,881,https://sea.wildstats.gg/en/profile/R3D9VAf9d60NurKJYFqd
104,58.55%,120,468,https://sea.wildstats.gg/en/profile/4CaxKgEQNk8rTFwfsgIZ
104,54.9%,154,663,https://sea.wildstats.gg/en/profile/kYhGKSzB5fMXZ6OAD9Gc
104,53.13%,249,862,https://sea.wildstats.gg/en/profile/nmEbQwjpZAQOQlR0GvbG
104,53.04%,191,971,https://sea.wildstats.gg/en/profile/NrndaFSskeFfdIUYcZXZ
106,51.9%,227,"1,418",https://sea.wildstats.gg/en/profile/Wov0J1SfplvT1IDWvZh9
104,54.36%,199,964,https://sea.wildstats.gg/en/profile/dAI5S1sY4JSwovUjykFG
103,54.71%,224,605,https://sea.wildstats.gg/en/profile/gobjO7feXBqNZkAoteKU
103,55.65%,190,620,https://sea.wildstats.gg/en/profile/yZayeXRTa7v5T3s4nXU8
103,60.86%,85,396,https://sea.wildstats.gg/en/profile/tQMzWYgohRFSafG8JqaB
103,56.06%,138,569,https://sea.wildstats.gg/en/profile/iocXPTeYOfvSKeJ1jUlV
103,53.54%,164,861,https://sea.wildstats.gg/en/profile/0G8bxjJvIRDOSVhXhBWJ
104,52.52%,241,813,https://sea.wildstats.gg/en/profile/nHpmtFKH9ec4NZxjGU1s
102,60.47%,163,506,https://sea.wildstats.gg/en/profile/hyjRLAVYQGaFrZ9bz1pm
101,55.09%,142,688,https://sea.wildstats.gg/en/profile/x5WH0uAYGaKMN2XPiZMg
